class,depth
wd:Q1415691,0
wd:Q842072,0
Na5de885bd6e24c21953c06c5517797b4,0
wd:Q5739465,0
wd:Q18352932,0
wd:Q16182850,0
wd:Q24772741,0
wd:Q28665858,0
Nd2507a891a874998b74a421d039f227c,0
wd:Q15871186,0
wd:Q549433,0
wd:Q1516258,0
wd:Q520006,0
wd:Q366017,0
wd:Q12309493,0
wd:Q1501864,0
wd:Q446776,0
wd:Q1818043,0
wd:Q2613,0
wd:Q27043924,0
wd:Q24740629,0
wd:Q24726070,0
wd:Q9158768,0
wd:Q4003767,0
wd:Q831304,0
N9b51cec8878f47d89ee7f8fb403f71eb,0
wd:Q29061811,0
N58a45f400c934adab1f9c10c70ac86b9,0
wd:Q7309239,0
wd:Q12038210,0
wd:Q16358610,0
wd:Q1541041,0
wd:Q2813,0
wd:Q632300,0
wd:Q166776,0
wd:Q1477856,0
wd:Q2466565,0
wd:Q1073818,0
wd:Q3550863,0
wd:Q159318,0
N5cd5bfb84202423aa50ebd3c6fee685c,0
wd:Q1949268,0
N9d1fe798fd184c5cb8b30aac241719ec,0
wd:Q674875,0
wd:Q42262,0
wd:Q18130274,0
wd:Q27043958,0
wd:Q7505806,0
wd:Q11496705,0
wd:Q7212007,0
wd:Q19018468,0
wd:Q429795,0
wd:Q1308813,0
wd:Q24691710,0
wd:Q6699890,0
wd:Q4484765,0
Nf8241d5c09d84c31b603248a4e3e6cc2,0
wd:Q636027,0
wd:Q843905,0
N3fb687626cd349d2b7d280403557578b,0
Ndc79a89ab8c4441586e41e0c092c29f6,0
wd:Q18544772,0
wd:Q11345451,0
wd:Q1809139,0
wd:Q2069715,0
wd:Q7782435,0
wd:Q11571013,0
wd:Q21675917,0
wd:Q27355,0
wd:Q2852,0
wd:Q3519388,0
wd:Q1345388,0
Nf29ed3e56b4d4d4abe0f3ab17aed4c67,0
wd:Q5437315,0
wd:Q964630,0
wd:Q27235634,0
wd:Q2247868,0
wd:Q158790,0
wd:Q29053853,0
wd:Q7259536,0
wd:Q12333303,0
wd:Q899288,0
N34f8ebc9329b4879acc8b72c1a4d9aa7,0
wd:Q2313089,0
wd:Q29433391,0
wd:Q101191,0
wd:Q1125638,0
wd:Q1163179,0
wd:Q215034,0
wd:Q959163,0
N54246276e928436fbc4e4a6b5c17b53b,0
wd:Q26972715,0
wd:Q3967974,0
wd:Q519967,0
wd:Q24739557,0
wd:Q31732,0
wd:Q1945759,0
wd:Q24016157,0
wd:Q757232,0
wd:Q24739583,0
Nda56daa18a5e4c1b9fe60812d88379a2,0
wd:Q1747183,0
wd:Q24784686,0
wd:Q166886,0
wd:Q1446290,0
N8d67a7281988489e96c8fcfac7fdeaa6,0
wd:Q23058648,0
wd:Q8035885,0
wd:Q28920044,0
wd:Q889842,0
wd:Q146243,0
N8d79891ae8e2485490f6e8255fefe28b,0
wd:Q778043,0
wd:Q32553811,0
Na641e97b3f9a42a09bfb8b423344e979,0
wd:Q3402644,0
wd:Q3395465,0
wd:Q20183653,0
N7f12e0b870d44beba45ec1d03a28e4e4,0
wd:Q4914986,0
wd:Q1916402,0
wd:Q20921447,0
wd:Q1308310,0
wd:Q2346494,0
wd:Q265619,0
wd:Q3512787,0
wd:Q3187075,0
wd:Q1923282,0
wd:Q25863168,0
wd:Q3592613,0
wd:Q4579153,0
wd:Q2381508,0
wd:Q3323691,0
wd:Q2466334,0
wd:Q1232148,0
wd:Q3512027,0
wd:Q707125,0
wd:Q11249728,0
wd:Q565430,0
wd:Q305072,0
wd:Q17709270,0
wd:Q1052621,0
wd:Q3010205,0
N30bee9cb2fff4d80801fe053476e2bcb,0
wd:Q15921870,0
wd:Q24354647,0
wd:Q14537877,0
wd:Q1200230,0
wd:Q3095025,0
wd:Q26161438,0
wd:Q26972719,0
wd:Q15244514,0
wd:Q1446100,0
wd:Q11480011,0
wd:Q30349432,0
wd:Q18358548,0
wd:Q281890,0
wd:Q273383,0
wd:Q647057,0
wd:Q1113555,0
wd:Q24744990,0
wd:Q6863157,0
wd:Q420614,0
wd:Q1900600,0
wd:Q873636,0
wd:Q2947882,0
wd:Q471846,0
wd:Q698,0
wd:Q672560,0
wd:Q494002,0
wd:Q3439913,0
wd:Q7167855,0
wd:Q24783534,0
wd:Q3331341,0
N0f43b5d48aac47c0ad600df832a90d7c,0
wd:Q27792093,0
wd:Q682483,0
wd:Q2049275,0
wd:Q216893,0
wd:Q955224,0
wd:Q23069407,0
wd:Q158717,0
wd:Q29650419,0
wd:Q2944236,0
wd:Q1439151,0
wd:Q207315,0
wd:Q7225228,0
wd:Q279438,0
wd:Q16879932,0
wd:Q14531236,0
N0d6fcbfe5d9245b0b55d6292527abbcc,0
N66eb85689ecd444eb973a5102b66ae42,0
wd:Q1584378,0
wd:Q11638024,0
wd:Q1837738,0
Neb9859e4a316435fba6f20d6ef304c84,0
Nedcd6865726548ddafae399716063ab0,0
wd:Q1433767,0
wd:Q208580,0
N01d544c9bf97464eaf4ab530c3b729fe,0
wd:Q10729326,0
wd:Q14521082,0
wd:Q24782462,0
wd:Q2113757,0
wd:Q1385169,0
N4d9ae737c9944728bee5bad71d89ae27,0
wd:Q24885546,0
wd:Q22704041,0
wd:Q18975722,0
wd:Q21928196,0
wd:Q1355654,0
Naffdaa42736f4467a6bb957f5db072ea,0
wd:Q22082757,0
wd:Q176984,0
wd:Q1761133,0
wd:Q3112634,0
wd:Q5244910,0
N3913c3c307734dee8bfb29b0ed248dd5,0
wd:Q50708,0
wd:Q14007781,0
wd:Q1454131,0
wd:Q5551283,0
N918d1652101a4f378458b6466d079e2e,0
wd:Q1667469,0
wd:Q4011107,0
wd:Q1204943,0
wd:Q2785397,0
wd:Q25378183,0
wd:Q2955183,0
wd:Q2135318,0
wd:Q184573,0
wd:Q505619,0
wd:Q16151174,0
wd:Q134847,0
Ne776ca875f6443839a3d0585f55b2fce,0
wd:Q1089710,0
wd:Q121572,0
Ncbaf8d17a5a74a7b9527e63938ba2195,0
Nfdc42236c5bb4fc4a3ae68193777dee9,0
wd:Q379636,0
wd:Q4668385,0
wd:Q7449063,0
N5653225180494dbb9f4257c7a3856f4f,0
wd:Q4459608,0
wd:Q22680897,0
wd:Q951841,0
wd:Q185359,0
N9651298537524bf786d7603d8fbf495c,0
wd:Q830399,0
wd:Q19379650,0
wd:Q33053502,0
Nff88987c1b3a45ff99313cb8ff5b8b3b,0
N22c1c49fd72749d387ab3c529862bbf5,0
wd:Q384102,0
wd:Q3176680,0
wd:Q654675,0
wd:Q383898,0
wd:Q1474251,0
wd:Q32435,0
Nda6fa356aa6145539e6642eb6ec8c77a,0
wd:Q24777493,0
wd:Q470025,0
wd:Q2470981,0
wd:Q1117077,0
wd:Q783953,0
wd:Q12069986,0
N33d471793f2747ae82b04d4855c89ad8,0
wd:Q18384745,0
wd:Q2005597,0
wd:Q15477165,0
wd:Q1370316,0
wd:Q147417,0
wd:Q31271499,0
wd:Q361,0
wd:Q3683057,0
wd:Q161981,0
wd:Q7127750,0
wd:Q2085786,0
wd:Q3092943,0
wd:Q18575580,0
wd:Q5156750,0
wd:Q1751943,0
wd:Q18454659,0
wd:Q6996973,0
wd:Q24731829,0
wd:Q1308239,0
wd:Q1411620,0
Nde7c7d8b1f2b4fffba9981aabe51c08f,0
wd:Q2874419,0
wd:Q2851776,0
wd:Q957129,0
wd:Q179518,0
Ned4150b64fef4bf1ac25ab117d070ef9,0
wd:Q432778,0
wd:Q193083,0
wd:Q3744090,0
wd:Q44316,0
wd:Q2428747,0
wd:Q18242706,0
wd:Q1513223,0
wd:Q226995,0
wd:Q12766313,0
wd:Q7896628,0
wd:Q5450355,0
wd:Q22978020,0
wd:Q20571325,0
wd:Q187860,0
wd:Q1445275,0
wd:Q33063528,0
wd:Q648666,0
wd:Q3376141,0
wd:Q899681,0
wd:Q1422057,0
Nf8731ac4c868405ba5b95240fdf99edf,0
wd:Q25619,0
wd:Q6377551,0
wd:Q842254,0
wd:Q3314452,0
wd:Q54259,0
wd:Q24530942,0
N9c6aa92865fc4ac8a74de0300f2457e8,0
wd:Q1277575,0
wd:Q28470,0
wd:Q58339,0
wd:Q1266546,0
wd:Q19931235,0
wd:Q80113,0
wd:Q219764,0
wd:Q2310,0
wd:Q2249932,0
wd:Q24045011,0
wd:Q909267,0
wd:Q17628570,0
wd:Q1329801,0
wd:Q6439847,0
wd:Q17501827,0
wd:Q1711697,0
wd:Q4617515,0
wd:Q24769759,0
wd:Q206577,0
wd:Q841738,0
wd:Q12410969,0
wd:Q1144672,0
wd:Q674041,0
wd:Q154958,0
Nf8de3bb4b97046ae91c2fa133cbe5ef3,0
wd:Q2519276,0
wd:Q29842449,0
Ne78202ab0d51498c9c4a3ef753f39b06,0
wd:Q10609771,0
wd:Q1878736,0
N06301a12bc3a449eb91f91860bb37931,0
wd:Q2348735,0
N63f2145ae4664bebb2be5ed658fe5f54,0
wd:Q12859263,0
wd:Q487765,0
wd:Q941769,0
wd:Q12289444,0
wd:Q7834548,0
wd:Q2835766,0
wd:Q30894543,0
wd:Q4503831,0
wd:Q548095,0
N6b410e44dcf74c3181c01b32e8c70649,0
N8043568d8e334564a34c92c846bda21c,0
Naeb61ff21d7a48b49bf3c6e679122a5d,0
wd:Q2371092,0
wd:Q2392011,0
wd:Q971545,0
wd:Q3775082,0
wd:Q18560545,0
wd:Q7476661,0
wd:Q1780146,0
wd:Q1400734,0
wd:Q3267244,0
wd:Q905983,0
wd:Q1156800,0
wd:Q584764,0
wd:Q609042,0
wd:Q24051431,0
wd:Q1988322,0
wd:Q4462424,0
wd:Q28520605,0
Nbd23dda1c6db4789a23fe3b521b6421e,0
N04526c21e939431dbc63cd16603212bd,0
wd:Q25398353,0
wd:Q3569960,0
wd:Q1937808,0
wd:Q202880,0
wd:Q22935148,0
wd:Q81009,0
wd:Q265871,0
wd:Q7205962,0
Ncce9e35cc6204b4a9f246f11041d1013,0
wd:Q2376563,0
wd:Q1060682,0
wd:Q16585739,0
wd:Q9049015,0
wd:Q2709593,0
N4d5f5b7ebed14e9482c671e6ac800e87,0
wd:Q3098286,0
N5f25da1952f24af4a82d053ffe79fdc1,0
wd:Q191072,0
wd:Q989265,0
wd:Q2215100,0
wd:Q553085,0
wd:Q1901305,0
N9b2ed01823454f1a91bd4aaa35d3391a,0
wd:Q151128,0
wd:Q851387,0
wd:Q951349,0
wd:Q2589882,0
wd:Q387318,0
wd:Q629291,0
wd:Q2260125,0
wd:Q965066,0
wd:Q1414356,0
wd:Q2784,0
wd:Q24769639,0
wd:Q745438,0
wd:Q941853,0
wd:Q3691270,0
wd:Q6516983,0
wd:Q18588186,0
wd:Q1543615,0
wd:Q2367613,0
wd:Q30332486,0
wd:Q33081846,0
wd:Q19557,0
N658abb250987443383e549a89bf2e394,0
wd:Q21167233,0
wd:Q2778,0
N3d13a80cae2145b0b24497512b8cc839,0
wd:Q396287,0
wd:Q2955092,0
wd:Q36382413,0
N7bbe8bd868f049759115f7a00cb71e41,0
wd:Q1289848,0
wd:Q3885347,0
wd:Q24773767,0
wd:Q16839444,0
wd:Q22674939,0
wd:Q27043353,0
wd:Q1453695,0
wd:Q501908,0
wd:Q18406281,0
N98ad3fcdf0ae4ca8af41a50f3c14d3fb,0
wd:Q459221,0
wd:Q1192221,0
wd:Q681737,0
wd:Q20749148,0
wd:Q1314183,0
wd:Q20715189,0
Nc60b3ae954e946f09bf0513fe2df92ab,0
wd:Q753847,0
wd:Q2996951,0
N7b22b992bf7d4ea9be5ea316b1b106df,0
wd:Q294403,0
wd:Q162657,0
wd:Q6679359,0
wd:Q1202245,0
wd:Q1047409,0
wd:Q7334640,0
wd:Q29642842,0
wd:Q3293439,0
wd:Q29651057,0
wd:Q12155884,0
wd:Q24788345,0
wd:Q15802235,0
wd:Q2992545,0
wd:Q1041116,0
Nc79048efcfdf44d2a990f986c85be5e1,0
Nb6a8bae2fbf347c6af33512c27fa9e05,0
wd:Q8031194,0
wd:Q5643676,0
wd:Q15983532,0
wd:Q1874467,0
wd:Q308463,0
wd:Q12152998,0
wd:Q1757650,0
wd:Q620544,0
wd:Q738761,0
wd:Q193119,0
wd:Q1017546,0
N017fbe525bfd4af0aa9900835886a71b,0
wd:Q1191509,0
wd:Q310531,0
wd:Q1550182,0
wd:Q2738617,0
N735e8ac753754cd6823a0a8b60c83106,0
N43b33989b5414a1e8560cf9a9f91ab8d,0
wd:Q5416718,0
wd:Q1915955,0
wd:Q7187943,0
wd:Q4241146,0
wd:Q17280190,0
wd:Q7031991,0
wd:Q25536349,0
wd:Q495225,0
wd:Q7109172,0
wd:Q26220,0
wd:Q24784519,0
wd:Q24770412,0
wd:Q5624219,0
wd:Q146666,0
wd:Q333247,0
wd:Q6546381,0
wd:Q156888,0
wd:Q20767372,0
wd:Q6439708,0
wd:Q35601,0
wd:Q19858337,0
wd:Q1930883,0
wd:Q2994873,0
wd:Q426372,0
wd:Q1276487,0
wd:Q1752772,0
wd:Q2959,0
wd:Q206077,0
wd:Q19803504,0
wd:Q1505845,0
wd:Q10801007,0
wd:Q12347337,0
wd:Q6621233,0
wd:Q301751,0
wd:Q920454,0
wd:Q381223,0
wd:Q7276859,0
wd:Q1545800,0
wd:Q24050002,0
wd:Q746741,0
N45881beddfd34283b566d666ca693cf6,0
wd:Q7187947,0
wd:Q1064173,0
wd:Q1270388,0
wd:Q2417,0
wd:Q14503051,0
wd:Q5266783,0
wd:Q471835,0
N07897121777849d1addd6b484b54f3a2,0
wd:Q1151934,0
wd:Q8908660,0
N29006fec985c45619991cff9a28c7dc2,0
wd:Q1141770,0
wd:Q878985,0
wd:Q908508,0
wd:Q28464915,0
wd:Q11079823,0
wd:Q2672,0
wd:Q273480,0
wd:Q1141055,0
wd:Q372001,0
wd:Q1191062,0
wd:Q2145286,0
wd:Q14532664,0
wd:Q1297859,0
wd:Q1295316,0
wd:Q371213,0
wd:Q2823,0
wd:Q15841493,0
wd:Q29617600,0
wd:Q1985629,0
wd:Q3001795,0
wd:Q1905729,0
wd:Q1341831,0
wd:Q19713851,0
wd:Q1303061,0
wd:Q3224188,0
wd:Q637178,0
wd:Q1054291,0
N58efc43580724c63997bc72e20f1ba1f,0
wd:Q4090132,0
wd:Q29463760,0
wd:Q10856114,0
wd:Q1742975,0
wd:Q29644051,0
wd:Q19828057,0
wd:Q24785761,0
wd:Q24787067,0
wd:Q830689,0
wd:Q18715515,0
wd:Q1165204,0
wd:Q1816326,0
wd:Q156831,0
N7ab9c49943b9415f89c9e256876b941b,0
wd:Q863372,0
wd:Q11690026,0
wd:Q834933,0
wd:Q504549,0
wd:Q3309308,0
wd:Q23070641,0
wd:Q2827826,0
wd:Q16883152,0
N02cb8f26ccaf44f5bae6ccb558bfea4f,0
wd:Q41726,0
wd:Q22676587,0
wd:Q1404878,0
N3ccebb0a0fcc46a1887576941936a86d,0
wd:Q27225758,0
wd:Q1445368,0
wd:Q3063341,0
wd:Q1418791,0
wd:Q7777573,0
wd:Q19315421,0
N19c0f0124c5e4893979f462ab28d0ee5,0
N00ea8a8249294737816c984b527f4df8,0
wd:Q29652404,0
wd:Q2615240,0
wd:Q2119376,0
wd:Q3819571,0
wd:Q2003549,0
wd:Q388201,0
wd:Q1845,0
wd:Q182209,0
wd:Q26001247,0
N7c69db2dcb504c94bdd33c5c9dcd0aff,0
wd:Q1062978,0
wd:Q1069840,0
wd:Q1221119,0
wd:Q527,0
N5bdea1b1e1ad477fb9f078421b14317c,0
wd:Q2301114,0
wd:Q15951083,0
wd:Q2736181,0
wd:Q1430789,0
wd:Q17086163,0
wd:Q6866806,0
wd:Q12328459,0
wd:Q12022155,0
wd:Q4127919,0
wd:Q147498,0
wd:Q427492,0
N33b7b212b2144697a4e9e7c43b5394ac,0
wd:Q18219998,0
wd:Q20826063,0
wd:Q411214,0
wd:Q16716503,0
wd:Q10650932,0
wd:Q17017345,0
wd:Q364005,0
wd:Q994145,0
wd:Q11681271,0
wd:Q1227640,0
wd:Q745243,0
wd:Q901328,0
wd:Q20829260,0
wd:Q2922341,0
N9429338a0ed6412491bb2f42263e0362,0
wd:Q3355529,0
wd:Q17985921,0
wd:Q4178674,0
wd:Q6466879,0
wd:Q8011140,0
wd:Q17098338,0
wd:Q42008,0
wd:Q133993,0
wd:Q25823,0
wd:Q28419135,0
wd:Q24007814,0
wd:Q2282,0
wd:Q176640,0
wd:Q210813,0
wd:Q5787189,0
wd:Q697641,0
wd:Q7279719,0
wd:Q2368137,0
N4d2aa012716d43f38081fa7bd1159e94,0
wd:Q283771,0
wd:Q24780424,0
N63abb392eff44ea6bf00c0d1afe38287,0
N34ab30cce4e2467ea8a0aacf439ad314,0
wd:Q11821744,0
wd:Q10957598,0
wd:Q610056,0
wd:Q333542,0
wd:Q21441112,0
wd:Q28953,0
wd:Q2301641,0
wd:Q2913218,0
wd:Q508051,0
wd:Q665517,0
wd:Q37803,0
wd:Q21087161,0
wd:Q178598,0
wd:Q4895508,0
Neda7c7f1dcce4087a49cacff9f6fa11e,0
Nefb86b67f9cc4285b9f159d642612e71,0
wd:Q2698,0
wd:Q271960,0
wd:Q31385177,0
wd:Q282011,0
wd:Q568225,0
wd:Q1069618,0
N72a21085d797469681d5d841be3af709,0
wd:Q29795177,0
wd:Q692218,0
wd:Q3020,0
wd:Q7113617,0
wd:Q17122834,0
wd:Q521263,0
wd:Q2616170,0
wd:Q11325830,0
wd:Q2535379,0
N65ae693451394e009aca3ade88a1d559,0
Nba780a220daf4787bdb93710e2cb0809,0
wd:Q1783115,0
wd:Q3112582,0
wd:Q297055,0
wd:Q15079786,0
wd:Q6434802,0
wd:Q2062773,0
wd:Q661518,0
wd:Q18406306,0
wd:Q1348155,0
wd:Q163060,0
wd:Q6168370,0
wd:Q4696964,0
wd:Q14561,0
wd:Q444600,0
wd:Q156360,0
wd:Q191875,0
wd:Q1251001,0
wd:Q1360625,0
wd:Q740574,0
wd:Q15587490,0
wd:Q727596,0
wd:Q20921574,0
wd:Q1952420,0
wd:Q1614239,0
wd:Q10260412,0
wd:Q59123,0
wd:Q1155596,0
wd:Q3684598,0
wd:Q2817174,0
wd:Q1186342,0
wd:Q2330559,0
wd:Q500622,0
wd:Q16333402,0
wd:Q2139047,0
wd:Q27133451,0
wd:Q188958,0
wd:Q21492706,0
wd:Q16854297,0
wd:Q525073,0
wd:Q1965450,0
Nbb3ec59ebd8f424a82058cd4b10b867c,0
wd:Q291808,0
wd:Q17305155,0
wd:Q5178969,0
wd:Q1482427,0
wd:Q357685,0
Nac8260a8028044d68a450a54c759efcb,0
wd:Q23013246,0
wd:Q28419125,0
N7ed26b6342804dcf9da6f9fd27f11adf,0
wd:Q4231608,0
wd:Q2955743,0
wd:Q3847604,0
wd:Q558325,0
wd:Q6839886,0
wd:Q20521112,0
wd:Q37068,0
N4892c598dd554981b3207b227f03178a,0
wd:Q4206743,0
wd:Q24628198,0
wd:Q1638254,0
wd:Q1329981,0
wd:Q12354480,0
wd:Q2665,0
wd:Q506758,0
wd:Q24720327,0
wd:Q26699963,0
wd:Q7832341,0
N75e088f14565456b9254f5c31e64c1fd,0
wd:Q4366057,0
N2bdef4ab78784900a33f3a04febfa1e8,0
wd:Q3922493,0
Nc28accc8baca453a822d5c3540dfbc64,0
wd:Q1751375,0
wd:Q996525,0
wd:Q3354031,0
N8b1e372604cb48d8bc5769b52383055f,0
wd:Q16249975,0
wd:Q2961,0
wd:Q1796848,0
wd:Q331189,0
wd:Q3475345,0
wd:Q1571437,0
wd:Q777856,0
Nfd4872bcfd6340ba850ec66a87bb084a,0
wd:Q1478822,0
wd:Q1187491,0
wd:Q25410366,0
N5996b4f23fd04095a2284d761852f464,0
wd:Q9335642,0
wd:Q3958733,0
wd:Q1339661,0
N3900b6b8e4924afe8356a1dc08e4f0a5,0
wd:Q1648474,0
Ndbba529a2a9349b88526e39ca4b1e68c,0
wd:Q205,0
N859c963efb464ef0bf23f49ed96fbb57,0
wd:Q3323839,0
wd:Q189393,0
wd:Q207529,0
wd:Q23070696,0
wd:Q930314,0
wd:Q9356212,0
wd:Q39485171,0
N790970d2db424501b2fd1bbb6ce143d0,0
Nea6b95d73a1e42f1af958f2a378053af,0
wd:Q24733093,0
wd:Q796150,0
wd:Q1073905,0
wd:Q1073535,0
wd:Q659925,0
wd:Q725417,0
wd:Q4465663,0
wd:Q2687851,0
N9c746cabab334fcca7aea5ffe2b3d9b1,0
wd:Q196680,0
wd:Q279704,0
wd:Q19838818,0
wd:Q4386779,0
wd:Q3570153,0
wd:Q15911581,0
N9ea53e044dba40508aea094efcd38580,0
wd:Q193442,0
wd:Q975085,0
wd:Q2336398,0
wd:Q10677234,0
wd:Q16514256,0
Ne47d87e3801748d68af7177d8fb9bca8,0
wd:Q8775109,0
wd:Q1125338,0
wd:Q669585,0
wd:Q17579687,0
wd:Q15220528,0
wd:Q18224993,0
wd:Q50638,0
wd:Q192272,0
wd:Q2548750,0
wd:Q219575,0
wd:Q2141130,0
wd:Q12314355,0
wd:Q10892,0
wd:Q1758841,0
wd:Q884707,0
wd:Q29861,0
wd:Q3752175,0
N238ba56567cf4378b21f5a69f5c86309,0
wd:Q39916781,0
wd:Q213541,0
wd:Q7550583,0
Nb23a532705dc45bfa431d3aba0319bf7,0
N789f3d25bd9642e78846a8fa0345c944,0
wd:Q743239,0
wd:Q13217442,0
wd:Q178995,0
wd:Q3054803,0
N69bb6b4d0c24413fac80505f08d9c78d,0
