statvalue,statementid
Q1796951,1
Q1797057,1
Q179731,1
Q179742,1
Q179807,2
Q1798287,1
Q17987586,1
Q179957,4
Q180,1
Q1800055,1
Q180043,1
Q18005247,2
Q1800545,3
Q180072,1
Q1800765,1
Q18008242,2
Q18010882,1
Q18011101,1
Q18012345,2
Q18012635,3
Q18016340,3
Q180184,2
Q180191,1
Q18019961,3
Q180256,2
Q180362,1
Q180394,1
Q180490,1
Q180502,3
Q18052373,1
Q180711,2
Q180809,2
Q1809112,1
Q181001,12
Q1810738,1
Q181077,1
Q18109,1
Q18115578,3
Q181217,2
Q18121791,1
Q181283,1
Q1812866,1
Q18130894,1
Q181362,1
Q1814786,1
Q181487,3
Q18152059,1
Q1815392,3
Q18160232,1
Q181634,2
Q181648,1
Q1816633,2
Q181699,1
Q181767,8
Q1818307,1
Q181865,2
Q181876,5
Q181888,1
Q181890,1
Q181898,1
Q181902,1
Q18195680,5
Q18195782,2
Q18198588,1
Q181989,1
Q182015,11
Q18205125,4
Q18205885,3
Q18208050,1
Q18209079,1
Q1820924,1
Q18209559,1
Q18214768,1
Q182154,2
Q182168,2
Q18219998,1
Q1822655,1
Q1822997,1
Q182338,1
Q18236228,1
Q182415,6
Q18242306,1
Q182581,2
Q182598,2
Q182798,1
Q18284306,3
Q1828555,1
Q182933,2
Q183011,1
Q183225,1
Q18325892,2
Q18330530,1
Q183318,2
Q18334,1
Q18335,6
Q18336,1
Q18336849,13
Q18340964,1
Q18341743,1
Q18343,1
Q18345375,1
Q18352926,4
Q18353841,1
Q18356677,1
Q18360378,1
Q183605,3
Q18374597,1
Q183770,1
Q18378426,1
Q18383498,2
Q18384745,1
Q184207,1
Q18421181,2
Q184260,1
Q18435003,9
Q184377,3
Q1844066,8
Q184442,1
Q1845,6
Q18457349,1
Q184664,2
Q184716,1
Q184754,7
Q184940,5
Q184943,2
Q1849456,6
Q18498,1
Q1849974,1
Q185009,1
Q185076,1
Q185091,1
Q1851397,2
Q1851434,2
Q18515440,1
Q1851710,2
Q1852084,1
Q18524262,2
Q185243,1
Q185301,1
Q185351,25
Q185359,6
Q18536380,4
Q18536529,1
Q185369,1
Q1854751,1
Q18553700,6
Q185553,2
Q18556352,5
Q18556373,7
Q185571,1
Q185585,1
Q18560545,1
Q185676,1
Q1856893,3
Q185698,5
Q18576582,3
Q185796,1
Q185816,2
Q185837,3
Q1858477,1
Q18585594,1
Q185870,3
Q185905,21
Q185925,5
Q185939,1
Q185957,5
Q18608498,1
Q18614659,7
Q186167,1
Q186247,3
Q1862618,3
Q1862884,1
Q186290,1
Q1863402,2
Q186368,3
Q18639596,2
Q186398,1
Q18646422,51
Q186506,7
Q186529,3
Q18653601,1
Q186563,1
Q186608,2
Q18671735,2
Q1867820,1
Q18681625,1
Q18692025,5
Q186946,1
Q18695611,2
Q18698858,1
Q18699055,1
Q187097,1
Q1871151,6
Q187234,2
Q187300,1
Q18733,2
Q187360,1
Q1874510,1
Q18746747,1
Q18749627,1
Q187560,1
Q18757,2
Q18762368,1
Q18762370,1
Q187650,1
Q1877483,2
Q187776,1
Q1878023,1
Q18784426,2
Q18784534,1
Q1878571,1
Q187860,7
Q1879388,1
Q1879493,1
Q188008,4
Q188063,5
Q18811686,1
Q188209,2
Q18826862,1
Q188444,1
Q188449,1
Q188518,1
Q188522,11
Q188531,1
Q188534,5
Q1885401,1
Q188543,1
Q188575,1
Q1886110,1
Q188619,5
Q1886589,1
Q1887075,1
Q1887426,1
Q188777,1
Q188844,2
Q188879,1
Q188886,1
Q188958,2
Q188968,3
Q1889778,1
Q1890958,1
Q1891685,1
Q189210,4
Q1892146,1
Q189218,3
Q189294,4
Q189302,2
Q1893102,1
Q189329,1
Q189409,5
Q18943721,1
Q189475,1
Q18957,1
Q189570,1
Q189571,2
Q189643,2
Q1896477,1
Q18966254,1
Q18966317,7
Q18966672,11
Q18967087,7
Q18967534,1
Q18967720,1
Q18968218,25
Q18971468,4
Q189722,1
Q18973,1
Q189746,1
Q18975212,1
Q18975241,1
Q18975470,1
Q18975606,1
Q18975722,1
Q18975815,17
Q18975915,1
Q189774,2
Q189796,3
Q189829,3
Q189838,1
Q189951,2
Q1899576,1
Q19000425,4
Q19000448,1
Q19000477,1
Q19000619,7
Q19000703,1
Q19000736,1
Q19001025,1
Q19001407,1
Q1900281,1
Q190052,1
Q1900600,1
Q1900672,1
Q190102,1
Q190132,1
Q190136,1
Q190139,1
Q19018468,1
Q190258,2
Q190353,2
Q1903640,1
Q19036430,1
Q1903785,1
Q190401,2
Q190489,6
Q190546,1
Q190586,1
Q1907514,1
Q1907770,1
Q190837,1
Q19088,4
Q1909041,2
Q190932,2
Q190977,5
Q190992,19
Q191072,2
Q191081,1
Q1911852,1
Q191431,3
Q1915955,1
Q1916402,1
Q1916611,1
Q191701,1
Q191783,1
Q191797,4
Q191831,1
Q191866,1
Q191875,3
Q191935,2
Q191936,1
Q192043,2
Q192047,3
Q192060,1
Q192068,1
Q192089,4
Q192120,4
Q19214824,1
Q192227,2
Q192280,1
Q1922981,1
Q192386,1
Q192439,1
Q1924906,1
Q19251,1
Q192532,2
Q1925978,1
Q192696,2
Q192757,1
Q192786,3
Q192842,1
Q192852,1
Q192854,3
Q192886,1
Q192899,3
Q192907,2
Q193041,1
Q1930620,1
Q193083,2
Q19309317,2
Q193097,1
Q193119,1
Q193159,1
Q193161,6
Q1931791,1
Q1931829,1
Q193247,1
Q193276,2
Q193280,3
Q193343,2
Q193432,4
Q193442,1
Q19347181,2
Q1934745,1
Q19349423,1
Q1935107,1
Q193543,1
Q193563,1
Q193592,5
Q1936223,1
Q1936256,1
Q1936640,8
Q193760,1
Q1937846,1
Q1937950,1
Q193858,1
Q193918,1
Q1939209,1
Q1940122,1
Q194105,2
Q194134,1
Q1941561,1
Q194163,1
Q1941660,1
Q19422453,1
Q19423209,1
Q194274,4
Q194290,4
Q194517,3
Q194520,1
Q19483216,1
Q19490217,1
Q19492477,1
Q19508445,3
Q19509099,1
Q1952032,3
Q1952420,1
Q19531187,1
Q1954860,1
Q19557,1
Q19559882,5
Q19576,2
Q19577,1
Q1957787,1
Q1959446,3
Q19602879,3
Q1960395,1
Q19605,3
Q19609,4
Q1962576,1
Q1962993,2
Q1964442,1
Q1964955,1
Q1966013,1
Q196627,2
Q19670728,1
Q1967218,1
Q196819,1
Q19689779,1
Q196939,3
Q1970256,2
Q1970286,1
Q1970438,2
Q19707,2
Q1972017,1
Q1973834,2
Q1973860,1
Q1975046,1
Q1975192,1
Q19754230,1
Q1975533,2
Q19762830,4
Q1978634,1
Q1978681,1
Q1978962,4
Q19799234,1
Q19801288,2
Q19805,1
Q19816651,2
Q19818,1
Q19828057,1
Q19829125,39
Q19829510,3
Q1983003,1
Q19831149,1
Q19841298,2
Q19841349,2
Q198438,1
Q19855028,1
Q1985638,1
Q19867345,1
Q19869438,3
Q1988322,2
Q1988378,5
Q19895225,1
Q1989975,2
Q199,1
Q19901267,4
Q19902884,10
Q19916,1
Q1991663,3
Q199182,1
Q19921962,1
Q19926433,2
Q19926549,2
Q1992891,1
Q199301,1
Q199388,2
Q1996518,1
Q19969419,1
Q1996993,2
Q199771,1
Q199895,1
Q199906,1
Q1999580,1
Q2001056,1
Q2001988,1
Q20020099,1
Q2002370,2
Q20025024,1
Q20026782,1
Q20028073,2
Q2002929,1
Q20043558,1
Q2004575,3
Q20050792,2
Q2005597,1
Q2006324,1
Q20081250,1
Q20086425,11
Q20089046,1
Q20106781,1
Q201190,2
Q2012,2
Q2013137,1
Q20154706,1
Q2015874,2
Q20182357,1
Q201833,1
Q20190314,1
Q201936,1
Q201959,1
Q201984,1
Q20199426,1
Q202142,1
Q202298,1
Q2024200,1
Q202466,1
Q202712,2
Q202763,1
Q202808,4
Q202812,1
Q2028815,3
Q2028995,4
Q2029841,2
Q2029941,2
Q2030064,1
Q2030347,1
Q2031017,1
Q2033665,1
Q2034559,1
Q203597,1
Q2038619,3
Q2039408,1
Q203973,1
Q204,1
Q2041444,1
Q204179,319
Q204244,1
Q2043282,4
Q2044037,5
Q20442589,1
Q204481,2
Q204520,1
Q2045578,1
Q2045669,1
Q204570,2
Q204680,1
Q2047589,1
Q204835,1
Q204886,2
Q204896,1
Q204952,1
Q204954,1
Q205,1
Q205021,1
Q205049,2
Q205084,1
Q205253,3
Q205398,5
Q205451,2
Q2056335,1
Q206060,3
Q206077,5
Q206175,3
Q206202,1
Q2063,4
Q2063072,2
Q20634,3
Q20645113,10
Q20650896,1
Q20651312,1
Q20664331,4
Q20667040,1
Q20668387,2
Q206765,1
Q2067937,1
Q20680326,10
Q2068248,1
Q2068324,1
Q2068348,2
Q206921,1
Q2069238,2
Q206935,1
Q206937,2
Q2069922,1
Q207011,4
Q20704224,10
Q207137,1
Q2071589,1
Q2071902,1
Q207203,1
Q2072447,1
Q2072471,1
Q207315,1
Q2073487,5
Q20735720,10
Q20739865,11
Q20739881,10
Q20745627,3
Q2074777,1
Q20748648,13
Q20750300,1
Q207529,3
Q207645,8
Q207648,1
Q2076966,9
Q207712,7
Q207714,4
Q20776249,5
Q207804,6
Q207857,3
Q2078905,1
Q20790,3
Q207976,1
Q207988,1
Q208107,3
Q2081159,1
Q208129,1
Q208144,1
Q20817212,1
Q208239,3
Q20826906,1
Q20828950,1
Q20829260,2
Q2083647,3
Q208365,1
Q208383,1
Q2083902,1
Q208542,1
Q2086008,2
Q2087545,1
Q208791,2
Q2088390,3
Q20890541,1
Q20891350,1
Q2089287,1
Q20898067,2
Q2090575,1
Q2091629,7
Q2092093,1
Q20921471,1
Q2092296,5
Q2092820,2
Q209295,1
Q209440,2
Q209491,1
Q2096452,6
Q20971450,1
Q209726,3
Q209760,1
Q20976813,1
Q2098111,1
Q20984678,1
Q209934,2
Q20995342,2
Q21004662,1
Q21005,4
Q210053,2
Q2100708,10
Q21012419,2
Q21014657,1
Q2101827,1
Q2102,4
Q2102385,1
Q2102780,1
Q21032902,2
Q210347,1
Q210369,1
Q21044622,1
Q210521,4
Q21055923,1
Q2105922,3
Q210611,2
Q21074346,1
Q21081474,2
Q21083885,1
Q210868,1
Q21087161,2
Q210947,1
Q21094868,1
Q21095877,1
Q210978,1
Q2110260,1
Q2110364,3
Q21117406,2
Q21117411,1
Q21120148,1
Q2112502,1
Q21127747,4
Q211331,1
Q2113454,1
Q21136,1
Q2114175,1
Q2115,10
Q211569,1
Q211578,2
Q211606,2
Q21162217,1
Q21162481,1
Q21168703,4
Q21170303,1
Q21171241,1
Q21172227,1
Q21192463,1
Q2119376,1
Q21196,1
Q2119820,1
Q21201861,1
Q212036,2
Q2120608,2
Q212108,5
Q2122933,1
Q2123671,5
Q2124131,1
Q2125374,1
Q212542,1
Q21263930,1
Q2127468,1
Q21281178,1
Q212829,5
Q212913,1
Q212919,1
Q212926,2
Q212954,1
Q2130216,1
Q2130426,26
Q213096,2
Q213156,5
Q2131764,1
Q213371,1
Q213373,5
Q2134627,1
Q213468,1
Q213488,2
Q2135331,1
Q2135540,2
Q213594,2
Q2136103,2
Q2137311,1
Q2137554,1
Q2137739,1
Q2137778,2
Q2138304,10
Q213853,11
Q213926,1
Q213970,1
Q2139963,1
Q21402249,3
Q2140261,1
Q2141106,1
Q2141130,2
Q2141565,2
Q214214,2
Q2142347,2
Q2142602,4
Q214267,1
Q2142903,1
Q2143665,1
Q214377,1
Q2143884,2
Q2144405,2
Q2144663,1
Q2145110,1
Q2145130,1
Q214528,1
Q2145615,1
Q214638,1
Q2146446,3
Q214680,2
Q21481320,2
Q214863,1
Q2149036,1
Q214961,1
Q214963,1
Q214995,4
Q21503252,2
Q2150504,4
Q21507902,1
Q21507928,1
Q2151313,1
Q2151963,4
Q215227,2
Q215248,2
Q21590660,7
Q21601984,1
Q2161625,1
Q216211,1
Q216227,1
Q2162458,1
Q21641570,1
Q2164944,2
Q2165135,1
Q21651901,1
Q21651927,1
Q21651973,1
Q21654857,1
Q2165493,1
Q21656234,1
Q21659,1
Q21662746,5
Q2166448,1
Q216672,3
Q2166744,1
Q216685,2
Q21694262,1
Q217086,2
Q217123,3
Q217170,1
Q217255,1
Q217357,2
Q217413,2
Q2176252,1
Q21789728,1
Q2179,1
Q218005,1
Q2185998,1
Q2186316,1
Q2186582,53
Q21893648,1
Q21928196,1
Q21950738,4
Q219534,2
Q2196118,1
Q2197452,1
Q219764,4
Q219858,3
Q21996360,2
Q220072,9
Q220379,1
Q220543,1
Q2207512,2
Q22082717,1
Q22082749,6
Q220830,6
Q220868,1
Q221123,1
Q221205,1
Q221290,1
Q2215100,1
Q221547,1
Q221641,2
Q2216979,1
Q221712,1
Q221725,3
Q221726,1
Q2217739,1
Q221836,1
Q221911,2
Q221979,1
Q2226062,1
Q222749,5
Q222764,1
Q222903,2
Q223044,1
Q223166,1
Q223200,1
Q223341,1
Q2237880,1
Q2238534,1
Q223907,4
Q223998,1
Q224107,1
Q2241223,2
Q22445448,2
Q224513,1
Q22467356,1
Q2247050,3
Q2249676,2
Q2250008,1
Q2250795,1
Q2250880,1
Q2252028,3
Q2252077,9
Q2252869,1
Q2258214,2
Q226031,1
Q2261522,2
Q226418,1
Q22651,1
Q2265547,1
Q2266263,2
Q22666,1
Q22671,1
Q22674939,1
Q22675021,3
Q22676587,2
Q2267705,2
Q2267989,1
Q2268045,1
Q22683249,1
Q22687823,1
Q2270029,1
Q2271117,1
Q2271240,1
Q22722,3
Q2272222,1
Q22724,2
Q22725,2
Q2274587,1
Q227505,1
Q227515,1
Q2275191,1
Q2275310,1
Q2275640,1
Q2275677,2
Q2277510,4
Q2278370,1
Q2279088,1
Q227936,3
Q2280273,2
Q22811707,4
Q22812148,5
Q2282469,2
Q228261,1
Q228332,5
Q228390,2
Q228435,2
Q228502,4
Q228537,1
Q2287198,1
Q228752,1
Q2290340,1
Q2290683,1
Q22909672,1
Q2291064,1
Q22910791,1
Q2292993,2
Q2294553,1
Q2296401,1
Q2297155,1
Q2297554,1
Q22978020,1
Q22981496,1
Q2298529,4
Q2298537,2
Q23003,1
Q23005640,2
Q2300748,1
Q23013246,1
Q2301641,1
Q2303305,1
Q23039137,1
Q23043688,1
Q2304418,2
Q23047376,1
Q230533,1
Q23054375,2
Q2306006,1
Q2306510,1
Q230711,3
Q230724,1
Q2307625,1
Q2308158,1
Q230981,1
Q2310015,1
Q2312,1
Q2313089,1
Q2313235,1
Q2313828,4
Q2313929,1
Q2314176,1
Q231425,5
Q231443,1
Q231924,2
Q23199308,2
Q232358,2
Q2325101,1
Q2328318,1
Q2328828,1
Q2329041,1
Q2329480,1
Q23303222,1
Q2330410,1
Q2330570,2
Q2332125,2
Q2332751,3
Q2333241,1
Q2336398,3
Q23364,1
Q233762,2
Q2337967,1
Q233858,2
Q23400,1
Q23407,2
Q234081,1
Q234110,1
Q234129,1
Q2345125,1
Q2346247,3
Q23485,2
Q234953,1
Q235007,1
Q23501,3
Q2350226,1
Q2350342,1
Q2351326,2
Q2352347,1
Q235329,3
Q235396,4
Q235419,4
Q2354820,1
Q2355426,2
Q2355696,2
Q2355817,1
Q235585,1
Q2356913,1
Q2357256,1
Q2357303,1
Q2359118,1
Q2360655,1
Q236122,3
Q2361869,1
Q2362761,1
Q2363357,1
Q2363721,5
Q23660930,1
Q2366336,7
Q2367101,2
Q2367132,1
Q23679,1
Q2369159,1
Q2371092,1
Q237157,1
Q2372081,1
Q2374515,1
Q23763484,1
Q2376563,5
Q23767,1
Q23773905,1
Q237789,1
Q2378396,2
Q2378979,1
Q23793233,2
Q2379783,1
Q238170,1
Q23817612,1
Q23828704,3
Q23828916,2
Q23835349,2
Q23835475,4
Q238499,1
Q2386764,1
Q23882,4
Q2389066,1
Q2390458,1
Q23905145,1
Q2392011,1
Q23940203,2
Q2394336,1
Q2396633,1
Q239813,7
Q239825,2
Q2399307,4
Q240046,1
Q24004657,1
Q24007814,2
Q24017852,1
Q2405145,1
Q24058033,6
Q2407,4
Q241181,3
Q2415157,3
Q2415537,1
Q241696,13
Q241741,3
Q24189114,4
Q24192229,1
Q2419566,1
Q2421951,2
Q242360,1
Q2425292,1
Q24255051,1
Q24259144,1
Q242657,1
Q24275211,1
Q24282822,1
Q24290094,2
Q2431125,5
Q243237,2
Q243261,1
Q243449,11
Q2435085,1
Q243519,1
Q24354647,1
Q2440634,2
Q244157,1
Q244194,1
Q2441998,1
Q2443822,1
Q24442740,1
Q2445201,1
Q2445916,2
Q2446710,1
Q2446724,1
Q24476018,1
Q2448110,4
Q2449511,1
Q244979,4
Q244982,2
Q244990,1
Q245115,1
Q245117,5
Q2451731,1
Q24517852,2
Q245188,2
Q24530942,1
Q2454987,1
Q245696,25
Q2456968,1
Q245962,2
Q2459773,1
Q246,1
Q246052,1
Q246085,2
Q24616,1
Q2463384,1
Q2463395,1
Q2464727,1
Q2466334,1
Q246644,2
Q2467845,1
Q2468572,1
Q24686942,1
Q247154,1
Q24720355,1
Q24720602,1
Q24720734,4
Q24720766,14
Q24720776,3
Q24720782,2
Q24720791,8
Q24720805,9
Q24720833,6
Q24720835,4
Q24720873,8
Q24721523,2
Q24721808,1
Q24722007,1
Q24723068,2
Q24723456,1
Q24724137,19
Q24724143,4
Q24724144,3
Q24724146,21
Q24724153,4
Q24724174,3
Q24724188,2
Q24724202,2
Q24724212,33
Q24724214,7
Q24724221,1
Q24724273,3
Q24724305,2
Q24724527,1
Q24725207,2
Q24725521,1
Q24725592,1
Q24725671,8
Q24725675,1
Q24725685,5
Q24725833,1
Q24725857,12
Q24725873,1
Q24725875,1
Q24725876,16
Q24725883,31
Q24726164,1
Q24726502,1
Q24726905,1
Q24726930,1
Q247299,1
Q2473370,1
Q2473705,1
Q24739346,1
Q24739440,1
Q24740075,1
Q24740149,1
Q2474068,1
Q24746036,1
Q247478,1
Q24766851,1
Q24767885,2
Q24768845,7
Q24768846,1
Q24768912,1
Q24769952,1
Q24769971,1
Q24770412,1
Q24770496,1
Q24770809,8
Q24771086,1
Q24771196,1
Q24771674,1
Q24772015,1
Q24772227,1
Q24772708,1
Q24772741,1
Q24773027,1
Q2477326,1
Q24773415,3
Q24774299,1
Q2477464,1
Q24774737,1
Q24775085,1
Q24775720,1
Q24775891,1
Q24776171,2
Q24776395,1
Q24776669,1
Q24776948,2
Q24777352,1
Q24777764,1
Q24778214,1
Q24779648,2
Q24779779,1
Q24779874,1
Q2478010,2
Q24780316,1
Q24780730,1
Q24781135,1
Q24782303,1
Q24783080,1
Q24783619,1
Q24784033,1
Q24784414,1
Q24784519,1
Q24784564,1
Q24784652,2
Q24784863,8
Q24785163,1
Q24785401,1
Q24786013,1
Q24786519,1
Q24787293,1
Q24787484,3
Q24787560,1
Q24787648,1
Q24787931,1
Q24788327,1
Q2481549,1
Q248382,2
Q24841283,2
Q2484680,1
Q2485083,1
Q2485878,1
Q2487608,1
Q2488257,5
Q2488579,1
Q24899369,1
Q249027,1
Q249608,1
Q249743,1
Q2499115,6
Q2501507,4
Q25038162,1
Q2507454,3
Q2507626,1
Q250840,2
Q2508409,1
Q2510801,2
Q2513517,1
Q251473,1
Q2515887,2
Q2516866,1
Q2517676,1
Q2518211,1
Q25182602,1
Q2518689,6
Q2519113,1
Q2520581,1
Q252171,1
Q25245,2
Q25261,9
Q2526135,23
Q25273,1
Q2527550,1
Q252829,1
Q25303616,10
Q25304843,1
Q25309,1
Q25312,2
Q25314,3
Q25319175,2
Q25324086,1
Q253278,1
Q25336,2
Q25340358,3
Q25341,2
Q253410,1
Q25345944,1
Q25348,1
Q2535401,1
Q2535546,2
Q253567,1
Q25357,1
Q25358,2
Q253590,3
Q2536390,1
Q25364,2
Q253655,1
Q25368,1
Q253732,1
Q2537428,1
Q25377050,1
Q25377065,1
Q2537906,3
Q253855,1
Q25386913,1
Q25388988,1
Q253897,1
Q25396824,1
Q25397729,1
Q25414943,1
Q254758,1
Q2547819,2
Q2548750,2
Q2549029,1
Q254917,1
Q2549274,1
Q2549943,1
Q2553861,1
Q255503,9
Q2556103,3
Q2556209,1
Q2556346,1
Q255731,2
Q25576177,1
Q2557678,1
Q25587,1
Q255975,1
Q2560088,1
Q2560552,3
Q2561118,1
Q256132,3
Q2561624,2
Q25661,1
Q256699,1
Q25670,1
Q2569128,1
Q2571006,1
Q257120,1
Q2573513,1
Q2575688,1
Q2578557,1
Q25834850,1
Q2583515,1
Q2584491,1
Q2586148,2
Q2587922,1
Q2589940,1
Q259080,2
Q2592062,1
Q2593739,1
Q2594775,1
Q2598585,1
Q26001247,3
Q26012,1
Q26012310,5
Q2601394,1
Q2601788,1
Q2602778,2
Q260521,1
Q2605607,1
Q260899,4
Q2611907,2
Q2612293,1
Q26126,1
Q26145018,2
Q2616064,1
Q26161215,1
Q26161438,2
Q26205901,1
Q26209678,1
Q262109,1
Q2621792,1
Q26225677,4
Q2622641,1
Q2623678,1
Q262372,2
Q26240,4
Q26262121,2
Q26262142,3
Q26262236,1
Q26262238,2
Q2626534,2
Q26266571,1
Q26267225,1
Q2630069,1
Q2630234,1
Q2630412,1
Q2631032,2
Q2631407,3
Q2631509,2
Q26321041,1
Q2632182,1
Q2632621,2
Q26336,1
Q263421,8
Q2634549,1
Q2635635,4
Q2637167,1
Q2637367,1
Q26377,1
Q263809,1
Q26388,4
Q2642350,1
Q2642826,1
Q264441,5
Q264592,1
Q2648051,2
Q2649726,1
Q2650608,1
Q265158,1
Q265163,1
Q2653441,1
Q265424,1
Q2654571,1
Q26547,8
Q2655726,1
Q265619,1
Q2657192,2
Q2657794,14
Q265871,1
Q266018,1
Q2662357,1
Q2663677,1
Q26643,4
Q2665529,3
Q2667279,1
Q26688977,1
Q2668909,1
Q26700376,2
Q26701162,3
Q26710950,1
Q26720715,1
Q26726,2
Q2673269,1
Q26742032,1
Q26769379,1
Q267726,3
Q26774052,1
Q267907,1
Q268194,1
Q26819688,1
Q26830783,1
Q26839766,1
Q268592,3
Q268617,2
Q268626,4
Q26880566,1
Q26883745,2
Q26897133,1
Q269107,1
Q2692606,1
Q26929442,2
Q2693050,1
Q2693051,3
Q26932,1
Q2694643,1
Q26961323,3
Q26961332,1
Q2697787,9
Q2699662,2
Q27022,2
Q270285,3
Q27042858,1
Q270471,2
Q27050509,1
Q27056812,2
Q27062015,1
Q27067406,9
Q27070694,3
Q27094,3
Q27096258,2
Q27103,5
Q2710737,5
Q2713301,1
Q2714958,1
Q2716137,1
Q2717006,1
Q271707,1
Q2718320,1
Q271860,1
Q271868,1
Q27191,1
Q271960,1
Q272026,1
Q2720909,2
Q2721649,1
Q2721980,1
Q27225153,1
Q27225758,1
Q272268,1
Q2723612,1
Q2724242,4
Q2724244,1
Q27243428,1
Q272458,1
Q2725376,1
Q272597,15
Q2726026,1
Q272629,3
Q272683,3
Q272870,1
Q272999,3
Q273088,1
Q273283,1
Q2732957,2
Q273395,3
Q273404,1
Q273554,1
Q2735683,1
Q2735971,1
Q2735986,1
Q273613,9
Q2736181,1
Q273631,1
Q2736507,1
Q2736870,3
Q273819,1
Q2738499,7
Q2738617,1
Q273972,2
Q2741122,1
Q274160,1
Q2741978,1
Q27429979,87
Q27441566,4
Q2744607,1
Q274502,1
Q27491541,6
Q27492289,1
Q2751085,1
Q2751097,1
Q2752458,1
Q2753888,1
Q275419,2
Q275447,1
Q275456,2
Q275466,7
Q275473,3
Q275650,1
Q27569220,1
Q276099,1
Q2763,1
Q276314,1
Q27632300,1
Q276325,1
Q276469,4
Q27680882,3
Q27681141,1
Q27684975,1
Q27703191,1
Q277466,6
Q2776649,1
Q2777436,1
Q2778433,14
Q2779833,1
Q2780636,2
Q2781672,1
Q27820730,8
Q2782618,1
Q278425,1
Q2784796,2
Q278515,2
Q2785397,1
Q278818,1
Q27887548,1
Q27889272,1
Q27891117,1
Q27905684,1
Q2790844,1
Q27911,5
Q27914,14
Q27943364,1
Q27943370,16
Q2795791,2
Q27969979,2
Q2797033,2
Q279704,1
Q2798292,1
Q28009010,2
Q28020574,1
Q280221,1
Q28024493,1
Q28025056,2
Q280413,2
Q28047536,2
Q28051279,1
Q28052918,1
Q2805523,3
Q28056576,1
Q2806436,1
Q28097443,1
Q2810677,1
Q2810794,1
Q2811588,1
Q2812009,1
Q28129886,1
Q2813,3
Q28136998,1
Q2814116,1
Q28146343,1
Q28146465,1
Q28152213,1
Q28164164,2
Q281719,1
Q28185749,1
Q281890,1
Q282011,2
Q2822111,1
Q2822290,2
Q282250,2
Q28226203,1
Q282271,1
Q28228887,1
Q2823685,1
Q2824097,1
Q2824587,1
Q2824642,1
Q282557,3
Q2827286,1
Q282739,1
Q282744,3
Q2827815,2
Q2827826,1
Q283,31
Q28319,2
Q28352,1
Q28371782,1
Q28371783,2
Q28371786,1
Q283771,1
Q28390,1
Q28418690,1
Q28419131,1
Q284220,2
Q2844434,1
Q28470,2
Q28485515,1
Q2849494,1
Q285028,1
Q2851776,1
Q28520605,2
Q2852251,2
Q28548188,8
Q2855609,2
Q285784,1
Q2859156,2
Q28598773,1
Q28599815,1
Q2862231,1
Q2864250,1
Q286471,1
Q28665858,1
Q28667703,1
Q2868277,1
Q2868706,1
Q28693,3
Q286972,1
Q2869869,1
Q2869890,1
Q2873185,1
Q28739264,1
Q28771541,1
Q28777925,1
Q28778386,1
Q2878277,1
Q28789517,1
Q28792993,2
Q28804039,3
Q28807042,4
Q28813620,1
Q2881374,9
Q288174,2
Q2882238,1
Q2882343,1
Q2883021,1
Q28854784,2
Q2885682,1
Q28861955,6
Q28861965,3
Q28865,2
Q28866457,1
Q28867547,1
Q288765,1
Q2887889,1
Q288928,3
Q2890076,2
Q28914848,1
Q2891889,1
Q2892536,1
Q28937142,1
Q2894775,2
Q28947933,1
Q28948136,1
Q28955245,1
Q28959347,1
Q28962,4
Q2897,1
Q28989,7
Q289891,1
Q29014644,1
Q2901966,1
Q29042901,1
Q29043203,1
Q29043227,2
Q29052255,1
Q29053853,1
Q2906749,1
Q290723,1
Q291,26
Q2911974,1
Q2912651,1
Q2912707,1
Q2914319,1
Q2914540,1
Q291495,1
Q29171,9
Q2917486,1
Q2917873,1
Q2917928,1
Q291808,1
Q2918095,2
Q2918349,1
Q2918652,1
Q2920483,1
Q29205,1
Q2921032,1
Q2921550,3
Q2922341,1
Q2923666,2
Q2930613,2
Q29319451,1
Q2933021,2
Q29340,1
Q29349307,3
Q2935715,1
Q2936142,2
Q2936505,2
Q2937172,1
Q2937283,1
Q29373558,1
Q2937981,1
Q293849,1
Q29385660,1
Q294159,1
Q294324,1
Q29437,1
Q2944236,3
Q2944360,2
Q2945,2
Q2945274,3
Q2945560,2
Q2946904,1
Q29472543,2
Q29475900,3
Q2950610,10
Q2950612,3
Q295118,1
Q29574534,3
Q2957683,1
Q29605336,1
Q2961763,2
Q2962444,2
Q296277,1
Q2963111,1
Q2967212,2
Q296760,2
Q296859,3
Q29688905,1
Q297055,1
Q2971515,1
Q297323,1
Q2976560,1
Q29790983,1
Q29800,1
Q29800372,2
Q2981513,3
Q2982942,1
Q2985253,1
Q2986423,1
Q29866935,1
Q29881694,1
Q298909,1
Q29898848,1
Q2990601,1
Q2992283,1
Q2992500,1
Q2992545,1
Q2992610,1
Q2992672,1
Q2993098,3
Q2993278,1
Q29933858,2
Q29933938,1
Q299345,1
Q2993777,4
Q2993807,1
Q2993960,1
Q2994466,1
Q2994640,1
Q2994873,1
Q29956308,1
Q29956713,1
Q29956717,1
Q2997736,1
Q29996,1
Q3000040,2
Q3000082,1
Q3001050,2
Q3001795,1
Q30023303,1
Q30026,1
Q300294,1
Q30046,96
Q3005427,1
Q3006041,1
Q3006903,1
Q3006989,1
Q3007454,1
Q300797,1
Q30079797,2
Q300867,1
Q300914,1
Q3010205,1
Q30103009,3
Q30104011,3
Q30132082,1
Q30149202,1
Q301751,3
Q301897,5
