"statvalue","noinstances"
"Q1404375",1
"Q1404722",3
"Q1404878",5
"Q1404946",2
"Q1405085",6
"Q1405280",5
"Q140544",11
"Q140565",3
"Q14058735",1
"Q140588",157
"Q1406",2
"Q1406318",1
"Q1406331",44
"Q1406559",4
"Q1406569",13
"Q1406758",9
"Q1406822",5
"Q140686",10
"Q1406904",12
"Q1406909",4
"Q1406985",1
"Q1406988",105
"Q140699",1
"Q140703",10
"Q140714",1
"Q1407207",6
"Q1407219",5
"Q1407225",38
"Q1407231",1
"Q1407236",51
"Q1407245",19
"Q14073567",665
"Q1407393",1
"Q1407406",1
"Q14075",6
"Q1407666",1
"Q1408259",1
"Q1408288",30
"Q14083",5
"Q14083157",14
"Q1408475",541
"Q1408529",1
"Q14085739",1
"Q1408593",15
"Q1408683",2
"Q1408706",1
"Q1408777",1
"Q1408812",1
"Q14089399",1
"Q14090",2
"Q1409029",1
"Q1409124",1
"Q14092",69
"Q1409242",1
"Q1409247",1
"Q1409399",1
"Q1409468",1
"Q14096331",1
"Q1409719",5
"Q1409961",1
"Q1410110",1
"Q1410327",1
"Q1410408",6
"Q1410477",1
"Q1410503",1
"Q1410668",522
"Q1410822",13
"Q1410881",1
"Q141090",3
"Q1410980",39
"Q14111136",1
"Q1411242",5
"Q1411287",2
"Q141130",2
"Q141140",95
"Q1411533",2
"Q1411549",1
"Q14116",1
"Q1411766",42
"Q141180",3
"Q1411808",25
"Q1411845",2
"Q1411858",1
"Q1411929",3
"Q1411945",7
"Q1411996",136
"Q1412",4
"Q1412049",1
"Q14121147",1
"Q1412205",37
"Q1412207",1
"Q1412219",7
"Q1412224",23
"Q1412256",5
"Q1412259",5
"Q1412263",5
"Q1412266",4
"Q1412270",4
"Q1412273",4
"Q1412275",4
"Q1412279",4
"Q1412280",4
"Q1412283",4
"Q1412362",4
"Q1412364",2
"Q1412375",1
"Q1412386",7
"Q1412403",73
"Q1412443",36
"Q1412471",1
"Q1412495",61
"Q1412630",1
"Q14126428",1
"Q1412674",1
"Q14128148",2
"Q1412822",1
"Q1413038",1
"Q1413045",5
"Q1413083",3
"Q1413117",1
"Q1413229",5
"Q1413287",4
"Q1413406",2
"Q1413420",1
"Q1413444",20
"Q1413570",2
"Q1413606",50
"Q14136353",59
"Q1413677",66
"Q1413715",3
"Q1413947",1
"Q1413962",2
"Q1414013",3
"Q1414130",5
"Q1414135",67
"Q1414262",7
"Q1414342",4
"Q1414362",1
"Q1414390",2
"Q1414426",48
"Q1414443",3
"Q1414472",4
"Q1414531",1
"Q1414565",3
"Q1414572",1
"Q141458",2
"Q1414611",2
"Q1414647",20
"Q1414671",10
"Q1414672",1
"Q1414729",3
"Q1414768",1
"Q1414773",3
"Q1414780",1
"Q141488",29
"Q1414896",5
"Q1414991",167
"Q1415017",15
"Q1415086",7
"Q1415133",15
"Q1415139",44
"Q1415179",18
"Q1415197",14
"Q1415199",1
"Q1415208",11
"Q1415343",3
"Q1415356",3
"Q1415372",1
"Q1415395",4
"Q1415459",1
"Q1415635",1
"Q1415691",5
"Q1416012",1
"Q1416052",24
"Q1416059",1
"Q1416106",1
"Q14162139",1
"Q1416251",2
"Q1416278",5
"Q1416296",2
"Q1416310",5
"Q1416414",1
"Q1416431",1
"Q1416494",2
"Q1416517",4
"Q1416547",1
"Q1416636",5
"Q1416685",109
"Q1416696",3
"Q1416699",1
"Q1416745",5
"Q14167874",2
"Q14167904",1
"Q141683",633
"Q1416863",2
"Q14169083",2
"Q1416909",4
"Q1417098",9
"Q1417134",1
"Q141716",17
"Q1417169",2
"Q1417174",4
"Q1417217",22
"Q1417240",1
"Q1417246",2
"Q1417393",8
"Q1417470",20
"Q1417524",2
"Q1417573",1
"Q1417599",1
"Q1417626",1
"Q1417657",1
"Q1417728",3
"Q1417730",1
"Q14177683",2
"Q1417802",4
"Q1417806",4
"Q1417810",4
"Q1417814",4
"Q1417817",4
"Q1417819",4
"Q1417823",4
"Q1417826",4
"Q1417908",48
"Q1418035",1
"Q1418040",1
"Q1418124",2
"Q1418132",2
"Q1418147",5
"Q1418149",4
"Q1418150",4
"Q1418153",4
"Q1418156",4
"Q1418161",4
"Q1418163",4
"Q1418165",4
"Q1418168",1
"Q1418169",4
"Q1418170",4
"Q1418175",4
"Q1418178",4
"Q1418180",4
"Q1418184",4
"Q1418214",9
"Q1418253",6
"Q1418257",1
"Q1418259",2
"Q141830",1
"Q14184491",3
"Q14185",1
"Q1418543",1
"Q1418640",3
"Q1418712",3
"Q1418979",5
"Q1419038",1
"Q14191429",2
"Q14192100",3
"Q14192199",2
"Q14192234",4
"Q14192252",8
"Q1419362",1
"Q1419626",1
"Q1419683",7
"Q1420",5504
"Q1420027",15
"Q14203022",1
"Q142031",202
"Q14204246",11324
"Q142043",18
"Q1420480",13
"Q142085",20
"Q1420960",1
"Q1421134",1
"Q14212",22
"Q1421330",1
"Q1421490",1
"Q1421549",1
"Q1421557",3
"Q1421582",4
"Q1421712",19
"Q1421853",2
"Q1421870",1
"Q1421918",1
"Q1422068",1
"Q1422253",2
"Q1422299",1
"Q1422391",1
"Q1422401",1
"Q1422407",1
"Q1422464",1
"Q1422489",1
"Q1422528",1
"Q1422576",11
"Q1422653",4
"Q1422709",4
"Q1423125",1
"Q1423152",1
"Q1423188",1
"Q1423268",1
"Q142331",1
"Q1423310",1
"Q1423338",5
"Q1423339",2
"Q1423426",1
"Q1423696",1
"Q14238758",1
"Q1423891",63
"Q1423981",1
"Q1424016",47
"Q1424020",1
"Q14242187",7
"Q1424329",7
"Q1424432",1
"Q1424449",82
"Q1424519",2
"Q1424583",46
"Q1424609",4
"Q1424639",1
"Q1424692",1
"Q1424704",1
"Q1424733",1
"Q1424777",7
"Q1424805",30
"Q14250007",6
"Q1425141",1
"Q1425332",1
"Q1425352",118
"Q14253637",4
"Q142554",1
"Q1425553",4
"Q1425560",9
"Q1425577",3
"Q142563",1
"Q1425683",1
"Q1425792",1
"Q1425858",3
"Q1425895",30
"Q1425942",2
"Q1425959",1
"Q1425971",3
"Q1426186",2
"Q1426198",6
"Q1426255",1
"Q1426261",1
"Q1426271",807
"Q1426316",6
"Q1426327",1
"Q1426380",13
"Q1426493",3
"Q1426540",1
"Q1426546",7
"Q1426613",2
"Q1426710",6
"Q1426772",49
"Q1426962",3
"Q1427010",1
"Q1427028",2
"Q1427085",13
"Q1427116",1
"Q142714",546
"Q1427313",4
"Q1427360",1
"Q1427510",2
"Q1427536",559
"Q14276458",178
"Q1427694",1
"Q1427700",9
"Q1427844",34
"Q1427887",5
"Q1427900",1
"Q142791",19
"Q1427914",2
"Q1427940",1
"Q1427951",2
"Q1427958",542
"Q142804",1
"Q1428143",3
"Q1428205",1
"Q1428239",19
"Q142824",1
"Q1428339",3
"Q1428357",529
"Q142839",13
"Q14284",1
"Q1428421",2
"Q1428504",134
"Q1428515",1
"Q1428559",1
"Q14286397",4
"Q1428660",1
"Q1428686",3
"Q1428849",36
"Q1428914",3
"Q1428946",2
"Q1429192",3
"Q1429193",2
"Q1429218",107
"Q1429277",1
"Q14292916",10
"Q14293015",3
"Q142943",2
"Q142944",1
"Q1429491",2
"Q1429577",5
"Q14296",1169
"Q14297310",1
"Q1429889",8
"Q1429898",1
"Q14300548",3
"Q1430154",52
"Q1430251",2
"Q1430268",1
"Q1430303",8
"Q1430364",2
"Q1430384",12
"Q1430419",5
"Q1430579",2
"Q1430652",20
"Q1430687",5
"Q143085",59
"Q143086",1
"Q1431",2
"Q1431020",7
"Q1431093",1
"Q1431283",28
"Q1431441",1
"Q1431554",2
"Q1431556",2
"Q143158",20
"Q1431781",4
"Q14318316",1
"Q1431958",1
"Q14320759",1
"Q1432092",202
"Q1432253",2
"Q1432487",1
"Q1432495",5
"Q14324969",1
"Q14325432",1
"Q14325447",1
"Q14325455",3
"Q14327702",1
"Q1432810",1
"Q1433006",12
"Q1433032",11
"Q1433061",95
"Q1433067",1
"Q1433083",1
"Q1433086",22
"Q1433093",8
"Q1433192",86
"Q1433344",4
"Q1433428",3
"Q1433492",35
"Q1433767",1
"Q1433783",1
"Q1433985",1
"Q1434106",1
"Q1434236",1
"Q1434274",42
"Q1434290",2
"Q1434313",7
"Q1434352",2
"Q1434387",5
"Q1434401",107
"Q1434438",2
"Q1434505",208
"Q1434544",251
"Q14346334",2
"Q1434636",2
"Q143467",10
"Q143470",1
"Q1434748",3
"Q1434805",5
"Q1434856",1
"Q1434884",1
"Q1434934",1
"Q1434958",5
"Q14350",23717
"Q1435124",1
"Q14352329",1
"Q1435365",161
"Q14353858",10
"Q1435416",2
"Q1435490",4
"Q1435706",1
"Q1435724",1
"Q1435771",1
"Q1435951",107
"Q1435993",5
"Q1435994",15
"Q14360432",1
"Q1436063",1
"Q1436139",8
"Q1436181",14
"Q1436228",1
"Q1436229",1
"Q143623",1
"Q1436248",1
"Q1436358",1
"Q1436376",34
"Q1436715",2
"Q1436833",31
"Q143692",30
"Q1436963",5
"Q14371213",1
"Q1437134",6
"Q1437157",5
"Q1437299",116
"Q14373",7
"Q1437437",5
"Q1437459",171
"Q1437688",4
"Q1437937",17
"Q1438040",177
"Q1438073",4
"Q1438105",45
"Q1438125",2
"Q1438414",3
"Q143873",1
"Q143874",2
"Q14387830",1
"Q14390192",23
"Q14390274",10
"Q14390354",19
"Q14390508",10
"Q14390666",15
"Q143912",158
"Q1439151",2
"Q1439156",1
"Q1439394",130
"Q1439559",1
"Q1439598",10
"Q1439618",1
"Q1439636",1
"Q1439639",1
"Q1439691",16
"Q143970",2
"Q144",477
"Q144004",1
"Q1440058",1
"Q1440173",5
"Q144019",27
"Q14402006",1
"Q14402036",2
"Q1440300",549
"Q1440344",5
"Q1440453",17
"Q1440459",5
"Q1440476",3
"Q1440496",1
"Q1440519",5
"Q14405627",1
"Q14405654",1
"Q14405758",1
"Q14406742",2058
"Q1440688",1
"Q1440925",5
"Q14411698",1
"Q1441305",187
"Q1441324",6
"Q14414034",3
"Q14414996",8
"Q14416029",2
"Q1441734",1
"Q1441762",10
"Q1441823",5
"Q14419427",1
"Q14420",8
"Q1442163",2
"Q1442209",5
"Q1442549",2
"Q1442756",1
"Q144281",19
"Q1442932",1
"Q1443316",7
"Q144334",3
"Q1443451",2
"Q1443637",42
"Q1443808",2
"Q1443908",5
"Q1443933",3
"Q1444",325
"Q14440634",1
"Q1444153",5
"Q1444512",1
"Q1444571",8
"Q1444804",1
"Q1444840",1
"Q144492",1
"Q1444922",3
"Q1444957",3
"Q1444982",1
"Q1445275",3
"Q14453195",3
"Q1445368",1
"Q14454091",162
"Q1445518",8
"Q1445536",2
"Q14455864",79
"Q1445627",1
"Q1445650",1039
"Q1445734",2
"Q14458220",1
"Q1446100",1
"Q1446290",57
"Q1446512",2
"Q1446668",2
"Q14467526",3
"Q14469408",10
"Q14469439",5
"Q14469659",2
"Q14472286",3
"Q1447266",1
"Q1447463",1
"Q144764",1
"Q1448081",3
"Q1449240",1
"Q1449340",1
"Q1449648",15
"Q1449918",1
"Q14499731",1
"Q14499958",1
"Q14500296",8
"Q145016",1
"Q14502276",4
"Q14502780",3
"Q14503036",4
"Q14503051",1
"Q1450446",1
"Q14504738",1
"Q145050",1
"Q1450504",5
"Q1450507",5
"Q14505421",1
"Q14505470",1
"Q1450598",67
"Q14506045",10
"Q14506577",1
"Q14506581",1
"Q1450662",83
"Q1450676",1
"Q14506912",1
"Q14507449",2
"Q14507462",1
"Q14507711",1
"Q14508523",2
"Q14508849",1
"Q14509381",33
"Q14509491",1
"Q14510027",3
"Q14510256",2
"Q14510492",14
"Q14511634",1
"Q14511965",2
"Q14511973",1
"Q145134",35
"Q14513977",1
"Q14514346",4
"Q14514600",722
"Q14514673",1
"Q14515311",3
"Q14515312",2
"Q14515446",1
"Q14515951",16
"Q14516417",10
"Q1451652",3
"Q1451661",2
"Q145167",1
"Q14517494",1
"Q14517550",7
"Q1451816",4
"Q14518514",1
"Q1451876",6
"Q14518765",28
"Q1451906",7
"Q14519612",1
"Q14520209",1
"Q145205",4
"Q14520608",2
"Q14521082",1
"Q14521088",1
"Q14522552",3
"Q14523332",1
"Q14523337",1
"Q14523679",1
"Q14523736",1
"Q14523754",1
"Q14523806",1
"Q14524031",2
"Q14524070",3
"Q14524467",1
"Q14524493",16
"Q14524594",1
"Q14524597",1
"Q14524659",4
"Q14524818",2
"Q14524869",1
"Q14524975",2
"Q1452516",2
"Q14525372",3
"Q145273",1
"Q14528440",12
"Q14528644",4
"Q14530780",1
"Q14530865",1
"Q14531236",1
"Q14531338",1
"Q14532655",4
"Q14532664",1
"Q1453310",7
"Q1453431",6
"Q1453446",1
"Q14535174",1
"Q1453654",16
"Q1453695",2
"Q1453709",4
"Q1453733",35
"Q1453740",1
"Q14537877",1
"Q14538562",1
"Q1453915",1
"Q1454131",1
"Q1454201",4
"Q1454206",6
"Q1454319",1
"Q1454477",17
"Q14545258",1
"Q1454553",21
"Q14545608",1
"Q14545639",8
"Q14545646",2
"Q1454583",135
"Q1454597",179
"Q1454820",2
"Q1454827",8
"Q1454904",1
"Q1454986",2
"Q1455",1
"Q145505",2
"Q1455059",5
"Q1455082",1
"Q1455196",1
"Q14551987",9
"Q14552192",551
"Q1455275",4
"Q14554976",1
"Q14554991",1
"Q1455543",2
"Q1455645",1
"Q14556915",1
"Q1455718",4
"Q1455803",1
"Q1455870",1
"Q1455871",1
"Q1455872",1
"Q1455927",1
"Q1455934",1
"Q14559724",5
"Q145599",1
"Q14560",5
"Q1456029",2
"Q1456099",14
"Q14561",1
"Q1456110",1
"Q14562306",693
"Q14562709",244
"Q14564445",1
"Q14564872",5
"Q14564873",5
"Q14565197",13
"Q14565734",1
"Q14565995",1
"Q1456832",25
"Q1456848",1
"Q1456873",1
"Q1456930",1
"Q1456936",7
"Q1457112",1
"Q1457145",10
"Q1457198",3
"Q1457245",1
"Q1457294",1
"Q1457376",2
"Q1457467",4
"Q1457501",99
"Q1457714",5
"Q1457747",5
"Q1457762",1
"Q14579",1
"Q145794",8
"Q145806",5
"Q1458069",1
"Q1458153",1
"Q1458216",1
"Q1458918",1
"Q14589648",7
"Q145897",1
"Q145903",1
"Q145909",9
"Q1459186",33
"Q1459367",9
"Q145939",3
"Q145954",15
"Q1459574",13
"Q14596454",1
"Q1459900",1
"Q145992",87
"Q14599306",1
"Q146",157
"Q1460138",7
"Q146021",1
"Q1460219",3
"Q146025",1
"Q1460420",1
"Q146048",28
"Q1460484",27
"Q146071",6
"Q146083",245
"Q14613593",1
"Q14614008",5
"Q146149",378
"Q14615142",2
"Q1461523",4
"Q1461541",1
"Q14616455",468
"Q1461663",1
"Q14616641",424
"Q1461850",3
"Q146186",1
"Q1461965",5
"Q146198",4
"Q14620",1
"Q1462047",32
"Q146212",1
"Q14622591",5
"Q14623204",2
"Q14623258",11
"Q146233",1
"Q14623351",63
"Q146234",2
"Q14623646",434
"Q146243",1
"Q1462491",5
"Q14625153",1
"Q14625613",1
"Q1462591",1
"Q1462606",2
"Q14626276",3
"Q14626453",9
"Q146269",18
"Q146281",77
"Q1462977",1
"Q14630046",4
"Q1463025",2
"Q14631294",1
"Q14631966",1
"Q146322",1
"Q1463396",6
"Q146350",2
"Q14637321",69
"Q14639",17
"Q1464124",19
"Q1464168",5
"Q1464283",1
"Q1464287",1
"Q146429",1
"Q1464352",2
"Q1464369",1
"Q14644",2
"Q14645",1
"Q1464507",1
"Q14645593",1035
"Q14646",16
"Q14646001",1
"Q1464640",5
"Q14646407",1
"Q14646874",2
"Q146470",3
"Q1464870",8
"Q1464880",2
"Q146491",18
"Q1464916",29
"Q1464943",1
"Q1464982",1
"Q146505",6
"Q1465101",16
"Q1465133",2
"Q1465216",2
"Q146527",1
"Q14654732",4
"Q14656",22
"Q1465684",9
"Q1465703",1
"Q146573",1
"Q14658",1
"Q14659",9610
"Q146591",172
"Q14659607",1
"Q14660",5935
"Q146602",1
"Q1466031",5
"Q1466064",13
"Q1466254",3
"Q14663",10
"Q1466442",5
"Q146657",2
"Q146666",1
"Q1467124",1
"Q146728",4
"Q14674",3
"Q1467563",64
"Q1467637",1
"Q146768",10
"Q1467808",4
"Q146786",1
"Q14679",3
"Q1468088",22
"Q14683",2
"Q1468440",1
"Q1468524",13
"Q1468664",10
"Q1468737",1
"Q146878",2
"Q1468807",7
"Q1468920",1
"Q146893",1
"Q146898",1
"Q1469195",8
"Q1469234",1
"Q146924",11
"Q1469318",500
"Q14693950",75
"Q14693961",76
"Q14693998",74
"Q1469420",4
"Q14694490",46
"Q14694851",64
"Q14694923",20
"Q14694931",37
"Q14694942",75
"Q1469686",1
"Q1469751",1
"Q1469779",1
"Q146978",1
"Q1469824",14
"Q1469893",1
"Q146992",25
"Q14701639",18
"Q14701642",56
"Q14701644",2
"Q14701646",3
"Q14701649",29
"Q14701653",4
"Q14701803",21
"Q14701805",286
"Q14701806",3
"Q14701807",47
"Q14701808",103
"Q147027",19
"Q1470315",2
"Q1470460",2
"Q147064",43
"Q1470641",7
"Q1470762",3
"Q1470795",1
"Q1470855",2
"Q1470916",1
"Q147096",1
"Q1471069",3
"Q14712",4
"Q1471215",1
"Q14714096",1
"Q1471412",1
"Q1471571",6
"Q1471749",2
"Q1472016",1
"Q1472127",2
"Q1472138",1
"Q1472255",13
"Q1472271",1
"Q1472288",2
"Q14723701",5
"Q1472392",2
"Q1472481",7
"Q147256",2
"Q1472600",8
"Q147267",1
"Q147276",14
"Q1472881",5
"Q1473099",1
"Q1473250",34
"Q1473265",1
"Q14732986",7
"Q1473346",175
"Q1473381",69
"Q1473433",1
"Q1473739",2
"Q1473950",10
"Q1474001",4
"Q14740334",18
"Q147417",4
"Q1474171",1
"Q1474213",2
"Q147426",1
"Q1474320",12
"Q1474334",3
"Q147434",1
"Q147439",2
"Q1474414",6
"Q1474418",1
"Q1474440",1
"Q1474477",1
"Q1474493",61
"Q14745",398
"Q1474521",3
"Q147459",22
"Q1474611",21
"Q1474614",1
"Q147468",4
"Q14747193",1
"Q147475",1
"Q1474754",6
"Q14748",217
"Q1474803",1
"Q147487",16
"Q14748878",1
"Q147492",32
"Q147498",65
"Q1475041",2
"Q1475062",3
"Q1475075",1
"Q14750991",1552
"Q14752002",4
"Q14752149",2457
"Q147525",19
"Q14752541",7
"Q14752696",2
"Q1475346",1
"Q147538",152
"Q1475403",13
"Q1475448",1
"Q147545",1
"Q1475455",5
"Q1475466",5
"Q14754894",2
"Q14754896",2
"Q14754897",2
"Q14754903",7
"Q14754906",2
"Q14754909",2
"Q14754916",2
"Q14754917",4
"Q14755054",34
"Q1475534",2
"Q1475563",7
"Q14756018",183
"Q1475637",1
"Q1475691",1011
"Q1475717",1
"Q14757767",131
"Q1475848",1
"Q14759463",1
"Q1476018",1
"Q1476019",2
"Q1476206",1
"Q1476215",4
"Q1476220",17
"Q14762205",62
"Q14762300",27
"Q1476232",30
"Q14762890",3
"Q14763041",17
"Q14763130",7
"Q1476488",39
"Q147651",4
"Q1476582",206
"Q1476801",1
"Q1476837",1
"Q1476845",5
"Q1476938",9
"Q14770218",24
"Q1477205",2
"Q14775294",18
"Q1477744",2
"Q1477760",1
"Q1477856",1
"Q1477977",2
"Q147802",3
"Q147807",1
"Q1478274",1
"Q1478310",1
"Q1478332",1
"Q1478378",5
"Q14784328",3
"Q1478437",1018
"Q1478438",1
"Q1478443",6
"Q1478508",3
"Q147861",1
"Q1478684",5
"Q1478783",10
"Q14788575",96
"Q1478895",1
"Q1478906",5
"Q14791028",1
"Q1479248",7
"Q1479328",1
"Q1479406",2
"Q14795564",1720
"Q1479638",1
"Q1479804",2
"Q1479818",1
"Q1479822",319
"Q1479879",4
"Q1479963",5
"Q1479983",1
"Q1479995",4
"Q1480079",3
"Q1480166",349
"Q1480193",237
"Q1480561",4
"Q148057",5
"Q14805701",1
"Q14811181",1
"Q1481202",2
"Q1481411",1
"Q148163",12
"Q1481677",3
"Q14818020",1
"Q14819852",2
"Q14819856",1
"Q1482029",1
"Q14820887",3
"Q1482145",1
"Q1482264",1
"Q14822753",2
"Q1482316",1
"Q14825551",9
"Q14827288",52
"Q14830021",14
"Q14831768",112
"Q148319",79
"Q1483341",7
"Q1483364",1
"Q1483388",1
"Q1483757",3
"Q1483833",12
"Q14839548",3532
"Q148401",17
"Q1484022",2
"Q1484064",2
"Q1484173",9
"Q1484397",9
"Q148442",4
"Q1484469",5
"Q1484503",1
"Q1484521",11
"Q148453",4
"Q1484611",3199
"Q14846916",2
"Q14846918",70
"Q14847063",5
"Q14848225",1
"Q1484907",1
"Q1484921",2
"Q148493",2
"Q14849523",4
"Q1485201",2
"Q14852106",3
"Q14852379",1
"Q1485366",18
"Q1485500",2
"Q14855244",8
"Q1485591",1
"Q1485661",1
"Q148571",660
"Q148578",93
"Q14858002",153
"Q14859627",1
"Q1485994",22
"Q14860489",9776
"Q14860523",2
"Q14862296",5
"Q1486290",2
"Q14863388",3
"Q148636",1
"Q14864472",4
"Q14864881",3
"Q1486497",1
"Q148650",1
"Q14865122",1
"Q1486621",2
"Q1486632",5
"Q1486643",96
"Q1486662",110
"Q14869485",14
"Q1487",4
"Q14872797",1
"Q14872996",1
"Q14873025",1
"Q1487455",2
"Q14875",6
"Q14875255",4
"Q14875859",23
"Q148773",2
"Q1487973",1
"Q1488244",1
"Q148836",2
"Q148837",60
"Q14888394",1
"Q14888431",5
"Q14890",1
"Q148916",1
"Q148920",1
"Q1489259",1
"Q148939",9
"Q148942",11
"Q148950",6
"Q148958",8
"Q14897293",613
"Q1489740",5
"Q149010",263
"Q149013",1
"Q14902",1
"Q14904124",11
"Q14905957",1
"Q14906600",2
"Q149069",4
"Q14906917",1
"Q14907192",15
"Q14907926",1
"Q1490797",2
"Q14908",19
"Q14908088",1
"Q149086",48
"Q1490924",4
"Q1491044",2
"Q14911880",308
"Q1491219",1
"Q14912864",1
"Q14914008",1
"Q14914657",15
"Q14915208",5
"Q14915627",2
"Q14915751",3
"Q14916053",20
"Q14916676",1
"Q14916829",20
"Q14916958",1
"Q1491746",13
"Q14917731",15
"Q14919807",2
"Q1491995",1
"Q1492003",3
"Q14920473",3
"Q14920643",5
"Q14920649",5
"Q14920651",4
"Q1492077",4
"Q14921981",4
"Q1492380",1
"Q14923870",1
"Q1492515",8
"Q14925259",1
"Q14925459",1
"Q14925567",1
"Q149273",2
"Q1492760",2
"Q14927600",17
"Q14928",54
"Q14928320",13
"Q14928567",9
"Q1492889",1
"Q1492918",5
"Q149292",1
"Q1493054",100
"Q149319",1
"Q1493223",5
"Q149332",19
"Q14934048",256
"Q1493448",1
"Q1493533",226
"Q1493627",1
"Q14936523",10
"Q1493752",47
"Q149377",1
"Q1493772",1
"Q1493816",1
"Q1493934",1
"Q1493952",1
"Q149405",1
"Q14940731",1
"Q14941037",1
"Q14941038",1
"Q14941040",1
"Q14941041",1
"Q14941224",1
"Q14941249",3
"Q14941251",14
"Q14941854",7
"Q14941870",81
"Q14941962",5
"Q14942280",1
"Q14942766",5
"Q14942768",3
"Q14942770",25
"Q14942771",3
"Q14942777",14
"Q14942782",20
"Q14942889",11
"Q14942893",80
"Q14942894",14
"Q1494307",8
"Q1494322",1
"Q14943522",5
"Q14943524",5
"Q14943910",1
"Q14944285",5
"Q14944295",2
"Q14944328",1
"Q1494444",5
"Q14944825",1
"Q1494578",1
"Q14946335",1
"Q14946396",16
"Q1494647",3
"Q149471",1
"Q14947481",174
"Q14947556",20
"Q14947863",12
"Q14948983",1
"Q1495119",1
"Q1495174",3
"Q14952",25
"Q149537",155
"Q149553",2
"Q149566",6078
"Q14957210",9
"Q1495738",7
"Q1495969",1
"Q1496085",1
"Q1496106",1
"Q1496144",2
"Q149621",2164
"Q149622",3
"Q14963",1
"Q1496456",6
"Q1496718",1
"Q1496857",6
"Q1496967",152
"Q1496988",1
"Q14970",53
"Q1497011",16
"Q1497019",3
"Q1497061",31
"Q1497068",2
"Q1497070",2
"Q1497090",16
"Q1497094",1
"Q1497172",3
"Q1497276",1
"Q14972848",1
"Q149732",1
"Q1497335",1
"Q1497364",1025
"Q1497375",6391
"Q1497384",13
"Q1497400",1
"Q1497483",16
"Q149757",6
"Q1497584",64
"Q14976",1
"Q1497649",696
"Q1497658",1
"Q14978",169
"Q1497831",1
"Q149789",101
"Q1498024",4
"Q149818",1
"Q1498321",3
"Q1498429",2
"Q1498464",2
"Q1498487",4
"Q149851",12
"Q1498593",1
"Q149865",60
"Q1498804",13
"Q149882",1
"Q1498925",5
"Q1499033",1
"Q1499065",1
"Q1499149",19
"Q149918",805
"Q1499294",1
"Q1499456",5
"Q1499496",6
"Q1499548",1
"Q1499591",1
"Q1499601",1
"Q1499602",2
"Q1499623",469
"Q1499816",5
"Q149985",10
"Q1499871",1
"Q1499881",5
"Q1499928",425
"Q150",24
"Q1500131",3
"Q15003",1
"Q1500350",12255
"Q1500352",163
"Q1500492",2
"Q1500615",8
"Q1500617",1
"Q150064",1
"Q15008061",2
"Q15008073",1
"Q1500848",1
"Q1500849",2
"Q1500859",4
"Q150093",46
"Q1500932",6
"Q1501",127
"Q1501028",1
"Q1501046",71
"Q1501067",2
"Q15010886",1
"Q1501186",1
"Q1501212",10
"Q1501257",3
"Q150129",10
"Q1501336",3
"Q1501358",2
"Q150138",33
"Q150139",93
"Q150147",4
"Q1501543",5
"Q1501619",2
"Q1501660",12
"Q1501680",2
"Q1501738",4
"Q1501813",7
"Q1501837",1
"Q1501855",3
"Q1501864",3
"Q1501897",4
"Q1501945",1
"Q1501958",12
"Q1502030",1
"Q15020890",104
"Q15020931",166
"Q1502102",1
"Q150214",1
"Q15022033",7
"Q1502249",19
"Q1502312",1
"Q1502455",1
"Q15026",252
"Q1502639",1
"Q1502700",91
"Q15027185",1
"Q15028",4
"Q1502803",1
"Q15028038",8
"Q1502887",21
"Q150302",4
"Q1503072",72
"Q1503133",2
"Q1503147",1
"Q15031575",16
"Q15032",1
"Q150326",2
"Q15033",7
"Q1503302",7
"Q150334",2
"Q150337",1
"Q1503383",1
"Q1503443",2
"Q1503450",132
"Q1503455",1
"Q15035",4
"Q150352",1
"Q1503784",2
"Q15038594",28
"Q1503967",1
"Q1504005",5
"Q15041810",1
"Q15042037",12
"Q15042137",1
"Q15042660",26
"Q1504307",1
"Q15043636",1
"Q15043657",5
"Q15043775",2
"Q1504429",15
"Q1504597",11
"Q15046569",1
"Q1504910",2
"Q1504917",30
"Q15051339",1
"Q1505283",2
"Q15052846",135
"Q15053464",25
"Q15053549",2
"Q15054049",1
"Q15054477",420
"Q15054484",80
"Q15054601",2
"Q15054936",1
"Q15055203",3
"Q15055408",1
"Q15055414",3
"Q15055419",1
"Q1505582",1
"Q15056133",7
"Q15056459",2
"Q15056563",5
"Q15056993",842
"Q15056995",2386
"Q15057020",171
"Q15057021",611
"Q15057121",1
"Q15057583",8
"Q150582",1
"Q1505845",1
"Q1505882",2
"Q15058985",5
"Q15059108",17
"Q15059710",5
"Q15059831",204
"Q15060255",30
"Q15061018",37
"Q15061624",131
"Q15061650",1232
"Q15062149",2
"Q15063057",1
"Q15063142",1760
"Q15063160",2
"Q15063219",2
"Q15063368",15
"Q15063373",8
"Q15063379",7
"Q15063384",12
"Q15063391",3
"Q15063395",14
"Q15063568",2
"Q15063586",13
"Q15063600",1
"Q15063611",25
"Q15064326",1
"Q1506469",19
"Q1506541",15
"Q15066925",8
"Q15067587",17
"Q1506785",1
"Q15068450",32
"Q15068469",2
"Q15069452",382
"Q15069684",1
"Q1507004",2
"Q15070223",139
"Q1507070",6
"Q1507104",4
"Q15071808",1330
"Q15072454",7
"Q15072596",72
"Q15072800",443
"Q1507442",2
"Q15075070",1
"Q15075508",717
"Q15075845",5
"Q15076371",8
"Q15076965",3
"Q15077165",5
"Q15077303",13
"Q15077340",746
