"statvalue","noinstances"
"Q1041205",3
"Q1041225",1
"Q10413035",1
"Q10414167",1
"Q104157",91
"Q1041682",13
"Q10416961",365
"Q10417670",50
"Q10417796",1
"Q10420711",3
"Q104212",1
"Q10422442",11
"Q104225",1
"Q1042266",1
"Q1042490",2
"Q104251",4
"Q10425307",1
"Q10425933",4
"Q10426",2
"Q10426040",3
"Q10426851",2
"Q10427676",4
"Q10428371",1
"Q10428634",1
"Q1042902",13
"Q10429090",32
"Q10429667",1
"Q1042979",4
"Q10430111",3
"Q1043076",15
"Q1043088",4
"Q104309",4
"Q10431511",1
"Q104319",1
"Q1043197",1
"Q1043226",1
"Q10432607",1
"Q10432777",1
"Q10432784",1
"Q10433129",3
"Q10433511",3
"Q1043452",1
"Q10436265",4
"Q104363",1
"Q1043639",7
"Q10436455",1
"Q10438042",1004
"Q10438274",1
"Q10438410",2
"Q10438653",1
"Q1043926",1
"Q1043939",90
"Q1044124",480
"Q1044181",10
"Q1044204",2
"Q10444029",1
"Q1044408",1
"Q1044427",69
"Q10444897",1
"Q10444915",2
"Q1044551",11
"Q1044672",2
"Q1044749",12
"Q1044880",4
"Q10448870",1
"Q104493",1
"Q104526",5
"Q104541",1
"Q1045481",1
"Q104555",1
"Q1045593",5
"Q1045608",14
"Q104567",1
"Q1045782",2
"Q1045785",4
"Q1045860",2
"Q10458671",1
"Q1045984",1
"Q1046083",3
"Q1046088",66
"Q10460934",2
"Q1046122",1
"Q1046291",1
"Q1046315",3
"Q104641",3
"Q10464181",1
"Q1046481",1
"Q1046626",1
"Q1046648",1
"Q1046763",26
"Q1046788",3
"Q104680",1
"Q10469728",1
"Q104698",9
"Q1047074",3
"Q1047113",175
"Q1047213",2
"Q1047299",7
"Q1047380",1
"Q1047409",3
"Q1047437",34
"Q1047443",5
"Q10475385",2
"Q10475839",3
"Q1047607",1
"Q1047683",5
"Q10476836",1
"Q1047698",6
"Q1047722",4
"Q1047808",1
"Q10478639",1
"Q1048057",2
"Q10480682",1036
"Q10480691",1
"Q104819",6
"Q10482023",1
"Q1048295",12
"Q1048314",17
"Q1048337",1
"Q1048366",1
"Q104837",1
"Q1048403",1
"Q104843",81
"Q1048478",2
"Q104851",8
"Q1048525",1090
"Q1048581",1
"Q1048652",5
"Q1048687",3
"Q1048772",3
"Q1048835",31
"Q1048902",3
"Q1049021",3
"Q1049029",1
"Q1049049",32
"Q1049158",30
"Q1049208",1
"Q10492745",2
"Q1049294",5
"Q104934",2
"Q10493486",3
"Q1049358",27
"Q1049394",1
"Q10493961",1
"Q1049467",1
"Q1049494",303
"Q1049540",6
"Q10495779",1
"Q1049625",1
"Q10496911",1
"Q10497016",1
"Q10497057",1
"Q10497103",1
"Q1049733",1
"Q1049757",75
"Q10497835",2
"Q1049792",2
"Q10498148",24
"Q10498262",2
"Q10498305",1
"Q10498312",1
"Q1049885",1
"Q1049923",1
"Q1049924",1
