s,g1
http://www.wikidata.org/entity/Q276469,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3278145,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q246085,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1714245,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q5196708,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1727229,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q468787,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q796150,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1784755,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4676883,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1568160,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q936417,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1320428,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q979564,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4761741,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q337998,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q181876,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2197452,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q646664,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3064951,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1641052,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q275466,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q355981,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q53829,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4366062,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1640998,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1129338,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q635339,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3408668,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q525075,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1141055,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q612345,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3144956,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q470747,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1328199,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2601394,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1350326,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1316942,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q275419,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q166231,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3361967,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4113827,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4959811,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q923339,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4930125,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q6543234,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
